idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
 87  ,     ft.Arr  ,       KQ861  ,   BKK  ,06:45  ,  17  ,      ,   KZG  ,               , FIH  ,08:09  ,   B788  ,                 
 88  ,    ft.Park  ,              ,   BKK  ,08:15  ,  17  ,      ,   KZG  ,               , FIH  ,10:29  ,   B788  ,                 
 89  ,     ft.Dep  ,              ,   BKK  ,10:35  ,  17  ,  17  ,   KZG  ,        KQ554  , FIH  ,12:05  ,   B788  ,                 
 90  ,    ft.Full  ,      KQ8611  ,   MBA  ,22:40  ,  2A  ,      ,   BWG  ,               ,      ,23:59  ,    AT7  ,                 
 91  ,    ft.Full  ,      KQ8613  ,   MBA  ,22:50  ,  2B  ,      ,   QUE  ,               ,      ,23:59  ,    AT7  ,                 
 92  ,    ft.Full  ,      KQ8653  ,   KIS  ,14:00  ,  3A  ,  12  ,   QUE  ,       KQ8692  , UKU  ,14:40  ,    AT7  ,                 
 93  ,    ft.Full  ,      KQ8655  ,   KIS  ,19:40  ,  3A  ,      ,   BWG  ,               ,      ,23:59  ,    AT7  ,                 
 94  ,    ft.Full  ,     KQ8655.  ,   KIS  ,07:50  ,  2A  ,   2  ,   BWG  ,       KQ8602  , MBA  ,08:50  ,    AT7  ,                 
 95  ,    ft.Full  ,      KQ8665  ,   EDL  ,19:10  ,  2C  ,   2  ,   QUE  ,       KQ8612  , MBA  ,20:20  ,    AT7  ,                 
 96  ,    ft.Full  ,      KQ8681  ,   MYD  ,16:20  ,  3A  ,   2  ,   BWG  ,       KQ8654  , KIS  ,17:40  ,    AT7  ,                 
 97  ,    ft.Full  ,      KQ8691  ,   UKU  ,11:30  ,  3A  ,   1  ,   QHW  ,       KQ8652  , KIS  ,12:00  ,    AT7  ,                 
 98  ,    ft.Full  ,      KQ8693  ,   UKU  ,16:30  ,  2A  ,   2  ,   BWG  ,       KQ8610  , MBA  ,19:50  ,    AT7  ,                 
 99  ,    ft.Full  ,       KQ871  ,   HAN  ,06:45  ,   8  ,   8  ,   KZC  ,        KQ210  , BOM  ,07:50  ,   B788  ,                 
100  ,    ft.Full  ,       MS849  ,   CAI  ,07:10  ,   7  ,   7  ,        ,        MS850  , CAI  ,08:10  ,   A320  ,  CAI, (7), (7)  
